2022-01-01 22:34:27.112 | INFO     | __main__:<module>:83 - | start training .... | current model feilong_conv_b2 |
2022-01-01 23:53:31.410 | INFO     | __main__:<module>:111 - | epoch : 62 | training done |
2022-01-01 23:53:45.226 | INFO     | __main__:<module>:244 - | epoch : 62 | val done |
2022-01-01 23:54:25.256 | INFO     | __main__:<module>:111 - | epoch : 63 | training done |
2022-01-01 23:54:38.827 | INFO     | __main__:<module>:244 - | epoch : 63 | val done |
2022-01-01 23:55:18.963 | INFO     | __main__:<module>:111 - | epoch : 64 | training done |
2022-01-01 23:55:32.657 | INFO     | __main__:<module>:244 - | epoch : 64 | val done |
2022-01-01 23:56:12.689 | INFO     | __main__:<module>:111 - | epoch : 65 | training done |
2022-01-01 23:56:26.548 | INFO     | __main__:<module>:244 - | epoch : 65 | val done |
2022-01-01 23:57:06.600 | INFO     | __main__:<module>:111 - | epoch : 66 | training done |
2022-01-01 23:57:20.138 | INFO     | __main__:<module>:244 - | epoch : 66 | val done |
2022-01-01 23:58:00.261 | INFO     | __main__:<module>:111 - | epoch : 67 | training done |
2022-01-01 23:58:14.181 | INFO     | __main__:<module>:244 - | epoch : 67 | val done |
2022-01-01 23:58:54.314 | INFO     | __main__:<module>:111 - | epoch : 68 | training done |
2022-01-01 23:59:08.166 | INFO     | __main__:<module>:244 - | epoch : 68 | val done |
2022-01-01 23:59:48.250 | INFO     | __main__:<module>:111 - | epoch : 69 | training done |
2022-01-02 00:00:02.077 | INFO     | __main__:<module>:244 - | epoch : 69 | val done |
2022-01-02 00:00:42.166 | INFO     | __main__:<module>:111 - | epoch : 70 | training done |
2022-01-02 00:00:55.850 | INFO     | __main__:<module>:244 - | epoch : 70 | val done |
2022-01-02 00:01:35.995 | INFO     | __main__:<module>:111 - | epoch : 71 | training done |
2022-01-02 00:01:49.699 | INFO     | __main__:<module>:244 - | epoch : 71 | val done |
2022-01-02 00:02:29.735 | INFO     | __main__:<module>:111 - | epoch : 72 | training done |
2022-01-02 00:02:43.413 | INFO     | __main__:<module>:244 - | epoch : 72 | val done |
2022-01-02 00:03:23.490 | INFO     | __main__:<module>:111 - | epoch : 73 | training done |
2022-01-02 00:03:37.135 | INFO     | __main__:<module>:244 - | epoch : 73 | val done |
2022-01-02 00:04:17.255 | INFO     | __main__:<module>:111 - | epoch : 74 | training done |
2022-01-02 00:04:30.870 | INFO     | __main__:<module>:244 - | epoch : 74 | val done |
2022-01-02 00:05:10.904 | INFO     | __main__:<module>:111 - | epoch : 75 | training done |
2022-01-02 00:05:24.393 | INFO     | __main__:<module>:244 - | epoch : 75 | val done |
2022-01-02 00:06:04.423 | INFO     | __main__:<module>:111 - | epoch : 76 | training done |
2022-01-02 00:06:18.222 | INFO     | __main__:<module>:244 - | epoch : 76 | val done |
2022-01-02 00:06:58.217 | INFO     | __main__:<module>:111 - | epoch : 77 | training done |
2022-01-02 00:07:12.021 | INFO     | __main__:<module>:244 - | epoch : 77 | val done |
2022-01-02 00:07:52.038 | INFO     | __main__:<module>:111 - | epoch : 78 | training done |
2022-01-02 00:08:05.624 | INFO     | __main__:<module>:244 - | epoch : 78 | val done |
2022-01-02 00:08:45.662 | INFO     | __main__:<module>:111 - | epoch : 79 | training done |
2022-01-02 00:08:59.494 | INFO     | __main__:<module>:244 - | epoch : 79 | val done |
2022-01-02 00:09:39.574 | INFO     | __main__:<module>:111 - | epoch : 80 | training done |
2022-01-02 00:09:53.411 | INFO     | __main__:<module>:244 - | epoch : 80 | val done |
2022-01-02 00:10:33.425 | INFO     | __main__:<module>:111 - | epoch : 81 | training done |
2022-01-02 00:10:47.033 | INFO     | __main__:<module>:244 - | epoch : 81 | val done |
2022-01-02 00:11:27.049 | INFO     | __main__:<module>:111 - | epoch : 82 | training done |
2022-01-02 00:11:40.952 | INFO     | __main__:<module>:244 - | epoch : 82 | val done |
2022-01-02 00:12:21.003 | INFO     | __main__:<module>:111 - | epoch : 83 | training done |
2022-01-02 00:12:34.864 | INFO     | __main__:<module>:244 - | epoch : 83 | val done |
2022-01-02 00:13:14.830 | INFO     | __main__:<module>:111 - | epoch : 84 | training done |
2022-01-02 00:13:28.648 | INFO     | __main__:<module>:244 - | epoch : 84 | val done |
2022-01-02 00:14:08.641 | INFO     | __main__:<module>:111 - | epoch : 85 | training done |
2022-01-02 00:14:22.203 | INFO     | __main__:<module>:244 - | epoch : 85 | val done |
2022-01-02 00:15:02.256 | INFO     | __main__:<module>:111 - | epoch : 86 | training done |
2022-01-02 00:15:16.061 | INFO     | __main__:<module>:244 - | epoch : 86 | val done |
2022-01-02 00:15:56.039 | INFO     | __main__:<module>:111 - | epoch : 87 | training done |
2022-01-02 00:16:09.670 | INFO     | __main__:<module>:244 - | epoch : 87 | val done |
2022-01-02 00:16:49.724 | INFO     | __main__:<module>:111 - | epoch : 88 | training done |
2022-01-02 00:17:03.336 | INFO     | __main__:<module>:244 - | epoch : 88 | val done |
2022-01-02 00:17:43.451 | INFO     | __main__:<module>:111 - | epoch : 89 | training done |
2022-01-02 00:17:57.311 | INFO     | __main__:<module>:244 - | epoch : 89 | val done |
2022-01-02 00:18:37.365 | INFO     | __main__:<module>:111 - | epoch : 90 | training done |
2022-01-02 00:18:50.898 | INFO     | __main__:<module>:244 - | epoch : 90 | val done |
2022-01-02 00:19:30.955 | INFO     | __main__:<module>:111 - | epoch : 91 | training done |
2022-01-02 00:19:44.416 | INFO     | __main__:<module>:244 - | epoch : 91 | val done |
2022-01-02 00:20:24.444 | INFO     | __main__:<module>:111 - | epoch : 92 | training done |
2022-01-02 00:20:38.079 | INFO     | __main__:<module>:244 - | epoch : 92 | val done |
2022-01-02 00:21:18.097 | INFO     | __main__:<module>:111 - | epoch : 93 | training done |
2022-01-02 00:21:31.691 | INFO     | __main__:<module>:244 - | epoch : 93 | val done |
2022-01-02 00:22:11.661 | INFO     | __main__:<module>:111 - | epoch : 94 | training done |
2022-01-02 00:22:25.355 | INFO     | __main__:<module>:244 - | epoch : 94 | val done |
2022-01-02 00:23:05.368 | INFO     | __main__:<module>:111 - | epoch : 95 | training done |
