2022-01-04 18:16:33.326 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1960 | loss : 0.005133984040240853|
2022-01-04 18:17:01.439 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 1980 | loss : 0.005038089463205049|
2022-01-04 18:17:29.676 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2000 | loss : 0.005159913539886474|
2022-01-04 18:17:57.935 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2020 | loss : 0.0049151491410661455|
2022-01-04 18:18:26.210 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2040 | loss : 0.004899486840939989|
2022-01-04 18:18:54.394 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2060 | loss : 0.004768879436752171|
2022-01-04 18:19:22.612 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2080 | loss : 0.004731506109237671|
2022-01-04 18:19:50.843 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2100 | loss : 0.004820386341639928|
2022-01-04 18:20:19.092 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2120 | loss : 0.004660562749178905|
2022-01-04 18:20:47.201 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2140 | loss : 0.004633310799286744|
2022-01-04 18:21:15.442 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2160 | loss : 0.00450445810953776|
2022-01-04 18:21:43.547 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2180 | loss : 0.004441395593345712|
2022-01-04 18:22:11.792 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2200 | loss : 0.004438609209927645|
2022-01-04 18:22:40.045 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2220 | loss : 0.004350025159818632|
2022-01-04 18:23:08.189 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2240 | loss : 0.004227625897952489|
2022-01-04 18:23:36.437 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2260 | loss : 0.004251850600791188|
2022-01-04 18:24:04.706 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2280 | loss : 0.004298530126872815|
2022-01-04 18:24:32.949 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2300 | loss : 0.00412157100179921|
2022-01-04 18:25:01.226 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2320 | loss : 0.00427708338046896|
2022-01-04 18:25:29.460 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2340 | loss : 0.004096551226754474|
2022-01-04 18:25:57.669 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2360 | loss : 0.00398189617415606|
2022-01-04 18:26:25.926 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2380 | loss : 0.003997733011966994|
2022-01-04 18:26:54.127 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2400 | loss : 0.0038643105824788413|
2022-01-04 18:27:22.362 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2420 | loss : 0.003984601044457806|
2022-01-04 18:27:50.639 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2440 | loss : 0.003913931377598497|
2022-01-04 18:28:18.770 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2460 | loss : 0.003910043375278876|
2022-01-04 18:28:46.879 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2480 | loss : 0.004044284743647422|
2022-01-04 18:29:15.091 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2500 | loss : 0.003897433090209961|
2022-01-04 18:29:43.224 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2520 | loss : 0.0038356561509389725|
2022-01-04 18:30:11.480 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2540 | loss : 0.0036729301993302472|
2022-01-04 18:30:39.716 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2560 | loss : 0.0036485396325588227|
2022-01-04 18:31:07.964 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2580 | loss : 0.003614977163861888|
2022-01-04 18:31:36.192 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2600 | loss : 0.0035544212047870344|
2022-01-04 18:32:04.439 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2620 | loss : 0.003481878761116785|
2022-01-04 18:32:32.697 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2640 | loss : 0.0034630219141642254|
2022-01-04 18:33:00.912 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2660 | loss : 0.0034749023896410948|
2022-01-04 18:33:28.956 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2680 | loss : 0.0033142979465313814|
2022-01-04 18:33:57.176 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2700 | loss : 0.003443197674221463|
2022-01-04 18:34:25.336 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2720 | loss : 0.003431300555958467|
2022-01-04 18:34:53.560 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2740 | loss : 0.0032395223631475965|
2022-01-04 18:35:21.783 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2760 | loss : 0.0033691534097643866|
2022-01-04 18:35:49.989 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2780 | loss : 0.0033486129568635133|
2022-01-04 18:36:18.245 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2800 | loss : 0.0032472709247044155|
2022-01-04 18:36:46.481 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2820 | loss : 0.003271874299286105|
2022-01-04 18:37:14.712 | INFO     | __main__:<module>:54 - | Epoch 0 | batch 2840 | loss : 0.0031844404381765447|
