2022-01-02 03:06:56.622 | INFO     | __main__:<module>:244 - | epoch : 39 | val done |
2022-01-02 03:08:20.472 | INFO     | __main__:<module>:111 - | epoch : 40 | training done |
2022-01-02 03:08:37.062 | INFO     | __main__:<module>:244 - | epoch : 40 | val done |
2022-01-02 03:09:59.531 | INFO     | __main__:<module>:111 - | epoch : 41 | training done |
2022-01-02 03:10:16.946 | INFO     | __main__:<module>:244 - | epoch : 41 | val done |
2022-01-02 03:11:34.896 | INFO     | __main__:<module>:111 - | epoch : 42 | training done |
2022-01-02 03:11:53.426 | INFO     | __main__:<module>:244 - | epoch : 42 | val done |
2022-01-02 03:13:09.918 | INFO     | __main__:<module>:111 - | epoch : 43 | training done |
2022-01-02 03:13:28.735 | INFO     | __main__:<module>:244 - | epoch : 43 | val done |
2022-01-02 03:14:45.522 | INFO     | __main__:<module>:111 - | epoch : 44 | training done |
2022-01-02 03:15:04.300 | INFO     | __main__:<module>:244 - | epoch : 44 | val done |
2022-01-02 03:16:21.166 | INFO     | __main__:<module>:111 - | epoch : 45 | training done |
2022-01-02 03:16:39.985 | INFO     | __main__:<module>:244 - | epoch : 45 | val done |
2022-01-02 03:17:56.969 | INFO     | __main__:<module>:111 - | epoch : 46 | training done |
2022-01-02 03:18:15.855 | INFO     | __main__:<module>:244 - | epoch : 46 | val done |
2022-01-02 03:19:32.714 | INFO     | __main__:<module>:111 - | epoch : 47 | training done |
2022-01-02 03:19:50.972 | INFO     | __main__:<module>:244 - | epoch : 47 | val done |
2022-01-02 03:21:10.878 | INFO     | __main__:<module>:111 - | epoch : 48 | training done |
2022-01-02 03:21:27.523 | INFO     | __main__:<module>:244 - | epoch : 48 | val done |
2022-01-02 03:22:51.717 | INFO     | __main__:<module>:111 - | epoch : 49 | training done |
2022-01-02 03:23:08.151 | INFO     | __main__:<module>:244 - | epoch : 49 | val done |
2022-01-02 03:24:31.626 | INFO     | __main__:<module>:111 - | epoch : 50 | training done |
2022-01-02 03:24:48.839 | INFO     | __main__:<module>:244 - | epoch : 50 | val done |
2022-01-02 03:26:08.178 | INFO     | __main__:<module>:111 - | epoch : 51 | training done |
2022-01-02 03:26:26.949 | INFO     | __main__:<module>:244 - | epoch : 51 | val done |
2022-01-02 03:27:43.785 | INFO     | __main__:<module>:111 - | epoch : 52 | training done |
2022-01-02 03:28:02.603 | INFO     | __main__:<module>:244 - | epoch : 52 | val done |
